movie_title,year,combined_rating,total_popularity
if i had a girl,1977,5.4,18
if we were lucky,2023,7.5,6
illegal,1955,7.0,2515
in ascolto,2006,6.2,1117
"ink, blood and socks",2023,6.6,21
invincible force,2011,8.0,54
io ricordo. piazza fontana,2019,6.5,59
j'y suis... j'y reste,1953,7.0,14
jason becker: not dead yet,2012,8.0,1231
jennifer 8,1992,6.0,5
journey through the body,2001,5.0,22
"joy luck club, the",1993,4.0,10
just be yourself,2023,5.9,13
just looking,1999,6.6,1616
kalachi,2011,3.6,20
kalvanin kadhali,1955,7.4,10
kaptn oskar,2013,5.3,275
kara davut,1953,6.8,10
keine angst vor großen tieren,1953,5.9,119
ki heba sua posile,1991,6.3,24
king richard and the crusaders,1954,5.5,945
kudla cafe,2016,6.8,13
kudre mukha,1978,6.8,6
kung fu kids part v: the adventure of kung fu kids,1988,6.5,59
kung fu panda: secrets of the masters,2011,10.0,1
la lupa,1996,4.8,213
laputa: castle in the sky (tenkû no shiro rapyuta),1986,7.0,24
last man,2018,8.1,16
le corps sauvage,2019,6.0,15
letters to stephanie,2024,8.1,42
lilya 4-ever (lilja 4-ever),2002,7.0,3
little gay boy,2013,4.5,184
live for life,1967,6.3,701
liverpool vs bournemouth,2019,5.6,7
lost in liberia,2007,7.6,14
love manoeuvres,1935,6.6,63
luther: the life and legacy of the german reformer,2017,8.1,99
lykkens grøde,2008,8.1,16
maa annayya,2000,7.5,26
major dundee,1965,5.35,9148
march 22,2017,8.4,17
marianne,1997,5.2,79
masks,1987,6.8,1899
midnight breaks,1990,5.4,26
miracle on 42nd street,2017,7.5,43
"mirror has two faces, the",1996,8.0,4
miss julie,1999,6.1,1654
missing dad,2011,5.9,114
mister mayfair: shooting paul,2021,5.8,40
motivation 3: the next generation,2017,5.7,159
"mouse that roared, the",1959,6.0,1
mr. vincent,1997,6.3,121
mr. wang's burning desire,1993,6.7,15
mutual needs,1997,4.5,294
música nocturna,2007,3.7,45
nación,2020,6.3,33
navajazo,2014,6.4,122
neboskreby moskvy,2003,7.0,17
need for speed,2014,7.0,2
neokonchennaya povest,1955,6.5,113
nesher,2024,8.0,8
never among friends,2002,5.1,202
never cry wolf,1983,9.0,9
no escape from the shadow,2009,6.2,35
norbert(a),2024,5.3,77
northern light,2006,6.7,332
nyamanton,1986,6.8,35
"omen, the",2006,5.0,27
ordinary miracle,1978,9.0,1
origin,2016,4.1,275
ovsunçu,2003,7.9,36
paddy o'hara,1917,5.0,20
perfect world,1990,6.2,58
perro,2020,7.8,5
pitbull: new orders,2016,6.4,3587
pokémon heroes,2003,1.0,1
police raid,1947,7.0,50
polt,2013,7.1,73
polyester,1981,6.0,1
promised land of heavy metal,2008,6.3,74
pucker up,2005,7.6,99
quando c'era berlinguer,2014,6.8,266
quest for love,1988,5.5,43
rakhi ke laaj,2020,9.4,7
ramprasad ki tehrvi,2019,7.4,6498
red line,2020,5.8,8
"return of the musketeers, the",1989,6.0,1
riddle of fire,2023,6.5,1832
risky business,1983,4.0,42
roll bounce,2005,4.0,1
roseanna mccoy,1949,5.7,310
roshagadu,1984,6.5,26
sabik,2013,6.2,8
sacred demijohn,2007,5.1,10555
santamaria,2008,8.0,51
"saragossa manuscript, the (rekopis znaleziony w saragossie)",1965,8.0,1
satria heroes: revenge of the darkness,2017,5.4,98
say it with diamonds,1927,6.0,19
seven sisters,2017,8.0,2
shen yi bian que,1985,5.8,8
sinhawalokanaya,2011,7.1,121
slam,2008,5.4,247
slapes,2024,6.8,31
sleeper,1973,10.0,28
sneakers,1992,6.0,46
solomon king,1974,4.8,212
something borrowed,2011,8.0,2
sonic sea,2016,7.5,256
space battleship yamato,2010,6.0,6555
squatch junkies,2023,6.7,14
stand by me,1986,8.0,91
stolen,2020,5.9,24
storm in a teacup,1937,6.5,1215
tangerines,2013,8.55,50381
the adventures of sherlock holmes and dr. watson: bloody signature,1979,10.0,1
the associate,1996,6.2,9413
the backpacker,2011,2.7,247
the big bang,2003,6.4,26
the blackout,2019,6.0,11278
the brides of fu manchu,1966,5.4,1453
the cabin in the cotton,1932,6.6,1955
the countess of castiglione,1942,5.1,12
the dark valley,2014,5.0,1
the folks,2022,3.8,195
the girl by the lake,2007,6.5,3982
the god plant,2018,6.4,206
"the goods: live hard, sell hard",2009,5.7,22922
the home teachers,2004,4.3,391
the invisible artery,2015,6.9,35
the macomber affair,1947,6.6,949
the martini shot,2000,5.3,24
the odyssey of destiny,2014,4.8,32
the order of things,2017,6.4,309
the otherworld,2016,3.2,237
the president's analyst,1967,6.8,3641
the quick and the dead,1995,6.5,107604
the spoilers,1914,5.8,117
the storm,2009,6.2,3233
the sun in the mirror,1962,5.8,22
the system,2014,5.7,244
the tiger's trail,1919,3.1,26
the wall man,2006,4.9,191
the zen diary,2022,6.7,287
think like a man too,2014,3.0,1
torn,2021,7.5,2032
two marriages,1962,4.6,10
tyrannosaur,2011,7.0,1
ulzana's raid,1972,7.0,6800
un mexicano en la luna,2024,5.4,12
"unforgiven, the",1960,7.0,6
unholy reunion: director's cut,2010,7.1,22
vidita negra,1973,6.6,72
villu paattu karan,1992,4.8,20
west side girl,1979,6.6,37
"where are you, bobby browning?",2016,4.2,161
where is st. nicholas' big book?,2019,5.4,41
whispering city,1947,6.2,416
white ant,2016,6.4,320
"whole wide world, the",1996,9.0,2
world order: three days and three nights,2021,6.7,10
"wrestler, the",2008,7.0,34
y1: silence of the deep,2020,7.9,8
yahya didn't keep quiet,2015,6.2,319
year,2023,9.0,317
you only live once,1937,9.0,1
young boss: leader's flesh,1967,4.2,15
one day,2017,6.5,696
álmatlan: dreamless,2017,9.1,52
20 days in tibet,2012,7.0,18
8mm,1999,8.0,18
a bedtime story,1933,6.5,142
a footnote in ballet history?,2016,6.3,16
a girl in a million,1946,6.6,72
a neighborhood named 'the dream',1961,8.0,988
a place to live,2003,5.0,143
aghor,2012,8.6,6
agnes of god,1985,8.0,5
amy's o (a.k.a. amy's orgasm),2001,8.0,1
andrew dice clay: dice rules,1991,8.0,1
angie,1994,4.0,1
angola 3: black panthers and the last slave plantation,2008,6.3,14
aquí y allá: here and there,2012,6.0,242
arcipelaghi,2001,7.2,46
autour de jeanne dielman,1975,7.2,71
baise les filles et sodomise-moi,1986,5.5,17
baka,1996,8.0,11
black robe,1991,5.0,3
bloodwork,2012,5.2,2533
boot camp,2008,5.8,9458
breaking the limits,2017,7.4,2466
bridge of the doomed,2022,3.5,1013
brother,2019,6.7,1335
"bryson, the demon slayer",2024,4.5,12
caddyshack ii,1988,2.0,3
calendar,2018,8.7,22
cannibal holocaust,1980,7.0,3
carnival in the night,1981,6.5,68
cats,1998,8.0,1
chaahat,1996,5.5,3370
chicken every sunday,1949,6.4,297
chicken run,2000,7.05,218522
cinéma d'exil et de luttes,1984,9.0,7
city of men (cidade dos homens),2007,8.0,1
"civil action, a",1998,6.0,11
clay zombies,2021,6.2,47
colleagues,1962,7.4,164
day of the sparrow,2010,7.1,41
daydrift,1999,6.4,13
dead innocent,1997,5.2,291
der grüne vogel,1980,7.3,64
derek,2008,7.2,341
desi magic,2021,6.4,16
desperate characters,1971,6.2,356
devil's island,2021,3.6,1160
do it like an hombre,2017,5.6,1404
dogwood tree,2010,6.8,1336
dokimasia,1966,4.3,13
don quijote,1908,4.3,23
don't go to strangers,2008,7.2,23
"draughtsman's contract, the",1982,7.0,5
drew: the man behind the poster,2013,7.4,1096
dying young,1991,10.0,4
"edukators, the (die fetten jahre sind vorbei)",2004,9.0,5
"eenmaal geslagen, nooit meer bewogen",1994,6.1,35
el hueso,1967,5.7,34
el mariachi,1992,6.8,72956
electroma,2006,2.0,1
eran trece,1931,6.0,241
eternidade,1992,2.5,22
"facing windows (finestra di fronte, la)",2003,9.0,1
fait vivir,2019,7.0,27
fashion passion,1985,6.6,9
fatale,2020,5.5,15251
first sunday,2008,7.0,1
flipped,2010,7.0,3
florida road,2010,7.9,46
for you tonight,2003,2.3,8
"four musketeers, the",1974,7.0,4
friday the 13th part vi: jason lives,1986,6.0,4
from selma to stonewall: are we there yet?,2016,9.0,10
funny people 2,1983,5.6,209
g.i. jane,1951,6.3,85
gardeners of eden,2014,7.9,122
ghawre bairey aaj,2019,6.3,395
ghosts in ghost towns: haunting the wild west,2018,7.0,26
goodbye to the girls,1987,5.6,13
gow - ghost of wuhan,2022,9.2,25
great kills,2022,9.3,35
"guardian, the",1990,4.0,5
halkie fulkee,2021,6.4,21
"happy birthday, mr. mograbi",1999,6.5,96
harvest of loneliness,2010,8.4,11
haunting of the mary celeste,2020,3.4,807
hawk the slayer,2014,6.7,28
hepta: the last lecture,2016,7.6,3327
here comes the navy,1934,6.2,1262
hide n seek,2024,8.9,2190
himam,1983,6.2,9
horrible high heels,1996,4.4,198
hostage,2005,4.0,10
i heart willie,2024,6.1,94
i still know what you did last summer,1998,4.0,18
i'll follow you down,2013,3.0,1
identity theft,2009,7.0,140
if my wife cheats me,1967,5.2,31
ijé: the journey,2010,6.2,117
in the turn,2014,7.2,54
incarnation,2016,4.7,416
infinity,1996,6.0,1
inhale,2010,5.0,1
intolerance,2021,7.2,633
invasion,2017,6.0,715
iron flower,1958,7.4,83
"ivan the terrible, part ii: the boyars' plot",1946,7.7,8363
jannat,1993,5.8,9
je vais te manquer,2009,5.2,191
jinkusu!!!,2013,6.6,155
jose feliciano: behind this guitar,2022,7.6,50
journey to the land of the traveller,1993,6.5,18
kamen rider zero-one others: kamen rider metsuboujinrai,2021,7.3,61
katernica,2023,4.9,28
killer wears white,1980,5.7,103
"killers, the",1946,8.0,1
kitchen stories (salmer fra kjøkkenet),2003,7.0,3
"kling wai kon pour son wai, rolling stone",1991,6.3,7
kymmenen riivinrautaa,2002,5.1,219
l'engrenage,1919,6.9,18
lady dynamite,1983,5.0,67
landscape no.2,2008,6.4,390
last summer in tangiers,1987,4.8,212
lbj,2017,8.0,1
les suceuses,1979,6.1,37
let's go navy!,1951,6.3,328
leur souffle,2019,7.0,25
live at cafe del teatre,2006,8.4,11
los locos también piensan,2005,5.6,74
love lust and ecstasy,1981,5.0,51
love you right: an r&b musical,2021,7.1,88
"luna grande, un tango por garcía lorca",2017,6.7,9
m. butterfly,1993,6.0,1
"madness of king george, the",1994,8.0,31
mako: the jaws of death,1976,4.3,1132
malamor,2003,5.1,43
mazepa,1976,5.9,35
merlin's shop of mystical wonders,2020,4.7,15
microcosmos (microcosmos: le peuple de l'herbe),1996,8.0,4
mind game,2004,7.0,2
mo deng ya men,1983,5.5,23
monsoon,2015,3.9,94
mortem,2016,7.7,183
my man adam,1985,5.1,191
mystery date,1991,6.0,1
national adultery,1982,5.4,56
nessie & me,2016,3.2,240
nine to five (a.k.a. 9 to 5),1980,4.0,11
no strings attached,2011,7.0,14
north sea boys,1950,6.8,24
not alone,2017,7.3,40
nothing for mahala,2013,6.2,387
nothing from something,2019,7.9,12
nova,2019,5.3,8
o scena a memoriei,2022,8.6,7
office ms. conduct,2022,6.2,21
"oh, les petites starlettes!",1978,6.2,12
old louisiana,1937,6.3,110
only you,2014,7.3,6472
origin: spirits of the past,2006,6.3,4950
os cristais debaixo do trono,2001,3.0,8
os fidalgos da casa mourisca,1921,8.0,7
ouija board,2009,4.1,32
out of the city,2000,6.6,509
out/marriage,2012,7.0,6
outside,2021,5.3,219
palmetto,1998,2.0,5
panchami,2015,4.2,6
paranoia,2024,4.2,356
"peanuts movie, the",2015,3.0,1
perfume: the story of a murderer,2006,5.0,8
perico ripiao,2003,7.3,644
peruvannapurathe visheshangal,1989,7.4,385
pins and needles,2001,6.9,20
plus one,2019,6.6,18064
poka messiah,2016,9.1,10
ponzi,2021,5.2,41
portile diminetii,1980,6.0,5
princess emmy,2019,4.8,134
purple butterfly (zi hudie),2003,8.0,1
purush,1994,6.5,35
rat trap,1963,5.4,59
raven the little rascal,2012,5.8,195
ready o/r rot,2023,6.7,107
"red violin, the (violon rouge, le)",1998,8.0,19
relative,2022,6.9,178
rendezvous in kiruna,2012,6.5,145
return of the demon,1987,5.6,66
return of the holy ghost,1972,4.7,30
robots of mars,1999,6.1,81
rubber tramps,2002,8.1,13
rung xanh ky la truyen,2017,4.4,11
salam,2022,5.0,160
salzburg. eine kunstgeschichte.,2021,8.8,9
seymour the unfortunate vampire,2024,8.7,11
shadows on the sage,1942,7.6,52
shinobi: heart under blade,2005,6.8,13065
shorty,2003,7.8,35
simpatico,1999,6.0,1
soggadu,2005,4.4,142
sonny boy,2011,6.7,3485
"south park: bigger, longer and uncut",1999,10.0,76
southern discomfort: wrestling on the indie circuit,2002,6.3,58
steam: the turkish bath (hamam),1997,8.0,1
stepping razor: red x,1992,7.7,163
strange wilderness,2008,7.0,2
strela lyubvi,2003,2.7,21
sully,2016,7.0,6
summer trail,1970,4.8,7
swedish erotica 54,1984,6.1,104
sweeney todd: the demon barber of fleet street,2007,8.0,30
tadareta kankei: neko mata no onna,2019,5.2,9
teddy bär,1983,6.6,9
temper's karma,2012,8.3,36
templar nation,2013,3.3,194
the 13th chapter,2000,6.3,39
the bfg,2016,5.0,1
the caviar connection,2008,7.8,49
the dam,1982,6.3,53
"the eyes, the sea and a ball",1967,6.9,15
the final fix,2020,7.9,12
the forbidden quest,1993,6.6,276
the freudian thing,1969,4.7,23
the girl allergic to wifi,2018,6.1,379
the golden helmet,2007,5.5,171
the golden shower,1919,5.4,26
the hot potato,2012,5.4,848
the lizzie mcguire movie,2003,5.6,43403
the long shot: the 1993 bosnian basketball team,2019,8.2,8
the monster bus,1988,5.2,8
the nine ages of nakedness,1969,4.4,89
the perfect circle,1997,8.1,2502
the rolling stones: voodoo lounge live at the tokyo dome 1995,1995,8.6,11
the steel jungle,1956,5.8,183
the suffering,2016,4.5,955
the west wall,1939,3.5,14
the wrath of erlang shen,2020,8.3,8
thiruneelakantar,1939,8.4,15
those dirty dogs,1973,5.4,248
tiptoes,1927,5.7,22
train to adulthood,2015,7.1,73
twisted,2001,7.6,38
ukrainian storybox: voices of war,2023,7.0,36
una vez fuimos salvajes,2017,7.5,11
vagabonderne paa bakkegaarden,1958,6.4,406
vindicta,2023,4.3,1118
waltz with bashir (vals im bashir),2008,5.0,5
we are triathletes,2018,7.4,42
weedjies: halloweed night,2019,4.3,250
welcome obama,2013,7.8,37
wham! in china: foreign skies,1986,7.8,72
what becomes of the children?,1936,5.1,73
when the levees broke: a requiem in four acts,2006,8.0,1
where is the heart,1997,7.7,22
wildest dreams,1990,4.0,129
wo zhen xi jian dao gui,2002,3.2,37
wrong way to sundance,2002,7.0,23
"year of living dangerously, the",1982,10.0,8
young husbands,1958,6.4,186
zakhmi zameen,1990,5.2,26
snowland,2005,6.7,396
the fighting blade,1923,5.8,32
"#moscow on the beach",2018,3.9,10
'rameau's nephew' by diderot (thanx to dennis young) by wilma schoen (1974),1974,6.6,134
30 nights,2018,4.9,311
7 faces of dr. lao,1964,8.55,5614
99 river street,1953,7.4,3660
a breed apart,1984,5.6,2041
a dama de branco,1978,6.0,17
a difícil vida fácil,1972,4.3,24
a vektor,2004,7.2,110
adrenaline,2023,2.7,405
ahaa re,2019,7.1,426
ajay gadu,2024,7.3,1045
alone in the t-shirt zone,1986,5.0,112
altered states,1980,8.45,40075
amir el zalam,2002,5.7,1980
an upper egyptian,2014,3.2,343
ankokugai main street,1964,5.2,12
apollo 13,1995,6.85,325350
as órfãs da rainha,2023,6.5,15
attack the block,2011,8.0,6
attica,2021,7.5,3207
avijan,1984,6.6,19
baghini konna,1996,6.2,8
baks,1974,5.5,10
balaa,1992,5.2,12
bang bang formosa,2012,3.8,28
"barabar, indian ocean redemption",2017,6.3,15
bark!,2002,4.9,766
bartleby,2001,3.0,1
be my star,2001,6.5,187
beyond dark dreams,2021,5.6,8
bitter lake,2015,10.0,1
"blokada: leningradskiy metronom, operatsiya iskra",1977,7.3,119
borva,2019,6.6,19
bros before hos,2013,6.0,1
call me king,2017,4.5,432
callejera,1949,5.7,19
chinnavar,1992,5.0,24
christmas at the holly hotel,2022,3.7,410
cold fever (á köldum klaka),1995,6.0,1
coming for you,2019,9.6,17
condition,2011,7.2,528
constantine,2005,6.0,35
crazy keerthy,2023,9.1,229
creeper,2012,4.9,351
"dance of reality, the (danza de la realidad, la)",2013,7.0,1
dead buffalo,2009,7.2,8
dead man working,2013,5.2,39
deccal,2015,3.5,720
den siste bohem,2014,8.8,5
det akutte menneske,2011,7.3,15
devil down south,2021,7.4,38
diva of finland,2019,5.5,231
dumb and dumber to,2014,5.3,149203
east-west (est-ouest),1999,8.0,1
el alma se serena,1970,4.4,51
en vazhi thani vazhi,1988,5.3,8
even cowgirls get the blues,1993,4.0,6
evergreen,2007,5.2,17
exley,2011,5.5,7
fiesta,1995,6.9,327
fly me to minami,2013,4.8,42
fools rush in,1949,6.3,96
four lions,2010,10.0,5
foxes,1980,6.1,5228
from hell to heaven,1933,6.2,130
"good earth, the",1937,8.0,2
grim reapers,2014,3.7,50
heroic purgatory,1970,7.1,881
honorables sinvergüenzas,1961,4.1,20
hostile encounter,2010,3.4,11
hot type: 150 years of the nation,2015,6.2,50
how stella got her groove back,1998,3.0,2
how to live in this world,2019,6.1,19
if you were me 5,2011,7.4,17
in a lonely place,1950,7.0,1
"incredible burt wonderstone, the",2013,6.0,3
"inkwell, the",1994,2.0,1
ir ten krantai smeleti,1991,6.9,11
ismet,1934,5.0,12
it was raining that night,2005,8.4,54
jack the giant killer,2013,2.2,1856
john q,2002,8.0,11
just in time,1997,5.3,164
kadathanattu maakkam,1978,7.2,22
kaminingyô no haru no sasayaki,1926,6.3,15
klyuch ot spalni,2003,4.9,191
koko: a talking gorilla,1978,7.2,971
koyaanisqatsi (a.k.a. koyaanisqatsi: life out of balance),1983,6.0,11
ktsx 69,1988,7.0,8
l'albergo degli assenti,1939,5.8,18
la prossima volta il fuoco,1993,5.6,42
lattjo med boccaccio,1949,4.9,37
les longs manteaux,1986,5.4,171
lethal weapon,1987,8.0,75
liar,2009,6.3,45
life and death entrance,1969,4.8,9
live or let die,2020,3.3,364
living the american nightmare,2011,8.0,33
love game,2024,8.1,29
love on the rock,2021,4.8,214
love. blood. kryptonite.,2008,6.0,74
luccas neto em: acampamento de férias 4: o desafio final,2023,3.9,154
lucky lakshman,2022,6.1,3796
mad dogs,2016,7.6,10
"maria full of grace (maria, llena eres de gracia)",2004,9.0,8
masand,2022,8.6,39
meet in pyongyang,2012,4.6,11
memento,2000,4.0,159
miss and mrs sweden,1969,5.1,155
monsters of carnage,2013,5.0,22
monty python's and now for something completely different,1971,4.0,28
mrs. f.,2020,7.9,11
mulholland falls,1996,4.0,21
my dead selfie,2018,7.8,11
my dear mummy,2014,4.8,23
my father and my son (babam ve oglum),2005,9.0,1
my first miracle,2002,7.3,163
my life without air,2017,6.0,64
n'avoue jamais,2024,5.8,450
naganiacz,1964,6.6,41
nasty neighbours,1999,5.8,150
neath's love story,2024,7.6,52
night of the creeps,1986,8.0,3
night of the wolf,2014,6.0,8911
ninotchka,1939,5.0,6
nûfer,2024,3.9,10
o teleftaios peirasmos,1964,6.2,37
"oh, diese bayern!",1960,6.4,17
once upon a midnight dreary,2003,5.5,16
one of us,2000,5.0,6
one to another,2006,5.7,1441
orca: the killer whale,1977,3.0,1
over the santa fe trail,1947,6.1,26
paparazzi,2004,6.0,3
parking lot pimpin',2013,4.3,31
payne & redemption,2016,8.0,18
peyton place,1957,7.0,1
pleasant goat and big big wolf: meet the pegasus,2014,4.8,41
poklad,2024,4.6,35
"police, adjective",2009,6.9,5424
polite people,2011,5.6,203
positive,2007,8.4,14
possessed ii,1984,6.2,175
professor huchuraya,1974,7.8,8
psycho,1998,4.0,92
pugundha veedu,1970,4.0,6
puppet master 4,1993,4.0,1
puteshestviye gospodina perrishona,1987,5.9,33
qazi,2021,5.7,218
rasutosongu,1993,7.1,17
ready to wear (pret-a-porter),1994,2.0,9
red riding hood,2003,4.6,701
return2sender,2005,8.2,60
reunion,2015,6.1,23
riding alone for thousands of miles,2005,7.3,5732
rise,2022,2.7,10
"road to wellville, the",1994,4.0,4
roberto carlos e o diamante cor-de-rosa,1970,5.5,189
ronin,1998,5.0,43
room in rome (habitación en roma),2010,2.0,2
rose wine,2005,7.2,27
roseland,2022,5.0,10
ruthless people,1986,5.45,31481
rychlík do ostravy,1960,4.4,10
saath saath,1982,7.4,401
samajaniki saval,1979,4.7,18
sanjay on call,2022,7.5,12
savage three,1975,6.8,590
school ties,1992,6.45,28254
scott & crowley: a comic book adventure,2017,5.8,11
scrooge & marley,2012,5.6,217
serving in silence: the margarethe cammermeyer story,1995,7.0,1
shadows run black,1984,3.1,561
shaheed uddham singh: alais ram mohammad singh azad,2000,7.8,244
shtorm na sushe,1976,6.7,20
shuang xiong da dou shuang jia mian,1962,4.4,5
sigrid & isaac,2005,5.9,18
"smurfs, the",2011,4.0,4
someone from nowhere,2017,7.3,31
song of the kauri,2011,7.6,7
split,2017,9.0,6
sramno leto,1969,5.8,15
stefan luchian,1981,7.4,129
strange behavior,1981,5.6,2534
swan lake,1957,7.9,45
"sweet hereafter, the",1997,8.0,16
take the money and run,1969,6.6,32122
taking sides,2001,7.0,1
teresa de jesús,1962,6.5,54
test tube baby,1991,6.2,9
testimony as an image: rashomon,2012,6.3,18
thappinchuku thiruguvadu dhanyudu sumathi,2024,5.4,1041
that englishwoman: an account of the life of emily hobhouse,1990,5.1,30
the 3_2 pulldown,2024,7.9,13
the adventures of mark twain,1985,7.2,3635
the august virgin,2019,6.6,1718
the ax,2005,7.3,8634
the ballad of frankie silver,2010,9.0,10
the carrington event,2013,6.9,99
the clerks 3 documentary,2022,7.6,20
the death carnival,2009,4.5,247
the disaster artist,2017,9.0,2
the dybbuk. a tale of wandering souls,2015,6.0,34
the epic of love,1986,9.0,6
the four of us,1972,4.8,50
the game of crowns: the tudors,2023,6.7,46
the greatest adventure: the book of dragons,2018,8.2,14
the guardian of memory,2019,7.9,82
the happy hotel,2023,6.3,11
the haunted strangler,1958,6.2,2177
the head hunter,2019,8.0,41
the heroic mr. boniface,1949,5.5,87
the last drop of my blood,1970,5.3,43
the lord's lantern in budapest,1999,9.0,1
the mine and the minotaur,1980,5.0,12
the moth,1980,7.0,236
the next voice you hear...,1950,6.3,957
the red light bandit,1968,7.3,1871
the scandalous four,2011,5.1,340
the unvanquished,1964,7.0,1120
the unwelcoming,2014,8.2,9
toby tyler or ten weeks with a circus,1960,6.8,1088
transient,2024,6.3,274
trashed...,2007,7.5,22
tudor fashion,2023,6.8,6
två konungar,1925,6.2,12
twin sitters,1994,6.0,4462
untangled,2022,4.2,57
vaaimai,2016,3.5,57
veera,2011,3.8,619
velukkakka oppu kaa,2021,8.9,86
vengeance,2001,8.2,27
walk of fame,2017,3.1,1045
"war zone, the",1999,8.0,2
wendy 2 - freundschaft für immer,2018,5.5,86
when angels sleep,2018,5.5,4222
"world according to garp, the",1982,8.0,9
written on the wind,1956,7.0,2
yo soy gallo dondequiera!..,1953,5.7,16
young bodies heal quickly,2014,6.0,112
"young poisoner's handbook, the",1995,6.0,1
zakoldovannye,1994,3.9,15
zone 39,1996,4.6,303
çakallarla dans 5,2018,3.8,4748
super vacanze di natale,2017,2.6,200
tere pyaar mein,1978,6.5,20
2 dialects 1 harmony creative mood,2015,6.8,10
23 hours,2000,8.0,46
438 days,2019,6.7,3664
a cry in the wild,1990,5.8,1231
a dying king: the shah of iran,2017,7.1,94
a patriot's day,2021,5.1,65
a sense of loss,1972,8.1,75
a vingança de um tropeiro,2016,8.5,6
ace high,1968,6.5,5007
alesha popovich and tugarin the dragon,2004,10.0,1
alex joseph and his wives,1977,6.5,41
ameba,2021,6.7,40
ancient evil: scream of the mummy,2000,2.1,1437
apple trees,1992,6.9,24
army of shadows (l'armée des ombres),1969,9.0,1
"art of getting by, the",2011,8.0,2
babul,1971,6.4,6
back to the north,2015,6.8,8
bad girl avenue,2018,4.8,18
bangunnya nyi roro kidul,1985,6.2,22
batakli damin kizi aysel,1969,6.6,18
batman & robin,1997,2.9,274878
"big red one, the",1980,9.0,2
black kisses,2022,5.4,51
black tiger,1989,8.8,86
borg vs. mcenroe,2017,6.9,35283
boriska: indigo boy from mars,2008,7.9,19
"bourne ultimatum, the",2007,7.0,81
