movie_title,year,genre,combined_rating,total_popularity
5 sehat 4 sempurna,2002,Comedy,6.2,34
50/50,2011,Comedy,9.0,19
50/50,2011,Drama,9.0,19
500 almas,2004,Documentary,7.2,25
500 days of silence,2023,"Documentary,Drama,Music",7.7,20
6 bullets,2012,"Action,Crime,Drama",6.0,16220
6 for 7,2011,"Drama,Sci-Fi,Thriller",4.7,12
6 hours,2015,"Action,Sci-Fi,Thriller",3.8,47
"6,000 miles from hollywood",2000,"Comedy,Drama",4.7,20
64: part 2,2016,"Drama,Mystery",6.2,331
65_redroses,2009,Documentary,8.2,200
666,2010,Horror,4.8,33
"6th man, the (sixth man, the)",1997,Comedy,4.0,2
7 7,2022,Fantasy,8.7,16
7 days,2016,"Drama,Romance",6.3,406
7 days,2021,"Comedy,Drama",6.5,1496
7 faces of dr. lao,1964,Fantasy,8.55,5614
7 faces of dr. lao,1964,Mystery,8.55,5614
7 faces of dr. lao,1964,Western,8.55,5614
7 guardians of the tomb,2018,"Action,Adventure,Fantasy",4.4,4353
7 haircuts in congo,2022,Documentary,7.8,5
7 keys,2024,Thriller,6.4,31
7 km da gerusalemme,2007,Drama,5.6,134
7 months pregnant,2016,Drama,4.9,465
7 women,1965,Drama,6.7,2828
70 y pico,2016,Documentary,6.8,6
70/30,2021,Documentary,6.0,47
702 dixits,2016,Thriller,5.2,32
70x7: sewentig maal sewe,2015,Drama,7.0,15
72 hours,2024,"Action,Thriller",4.1,283
7:19,2016,"Drama,History",5.8,702
7th & westlake the rerock,2022,Drama,9.6,6
"7th voyage of sinbad, the",1958,Action,8.0,5
"7th voyage of sinbad, the",1958,Adventure,8.0,5
"7th voyage of sinbad, the",1958,Fantasy,8.0,5
8 1/2 (8½),1963,Drama,9.0,14
8 1/2 (8½),1963,Fantasy,9.0,14
8 dates,2008,"Comedy,Romance",6.0,732
8 minutes ahead,2017,"Crime,Drama",7.3,14
8 ½ $,1999,Comedy,6.4,397
800 bullets (800 balas),2002,Comedy,5.0,1
800 bullets (800 balas),2002,Crime,5.0,1
800 bullets (800 balas),2002,Drama,5.0,1
800 bullets (800 balas),2002,Western,5.0,1
80000 thoughts,2014,"Drama,Music",7.4,15
815 - the story of the lost pilot,2023,Documentary,8.9,12
84c mopic,1989,"Drama,War",6.8,2067
88 antop hill,2003,"Mystery,Thriller",4.8,82
8989 redstone,2016,Horror,4.7,160
8mm,1999,Drama,8.0,18
8mm,1999,Mystery,8.0,18
8mm,1999,Thriller,8.0,18
9 fugas,2020,Drama,5.7,27
9-11: the day the world stood still,2025,"Documentary,History",6.4,107
9/11,2002,Documentary,10.0,1
9/11 kids,2020,Documentary,6.1,64
964 pinocchio,1991,Horror,2.0,1
964 pinocchio,1991,Sci-Fi,2.0,1
99 river street,1953,"Action,Crime,Drama",7.4,3660
99 women,1969,"Crime,Drama,Horror",4.6,1699
99.9 criminal lawyer: the movie,2021,"Comedy,Crime,Drama",6.0,168
9to5: days in porn (a.k.a. 9 to 5: days in porn),2008,Documentary,7.0,1
9to5: the story of a movement,2020,"Documentary,History",7.4,292
[rec],2007,Drama,6.0,8
[rec],2007,Horror,6.0,8
[rec],2007,Thriller,6.0,8
a banana? at this time of night?,2018,"Biography,Comedy,Drama",6.4,317
a bao a qu,2007,Drama,2.6,56
a beautiful planet,2016,Documentary,7.3,1520
a bedtime story,1933,"Comedy,Musical,Romance",6.5,142
a bell family christmas,2022,"Comedy,Drama",7.8,18
a blood red sky,2015,Documentary,4.6,50
a boat departed from me taking me away,2023,Documentary,7.3,29
a break in the clouds,2010,"Action,Sci-Fi,Thriller",6.9,13
a breed apart,1984,"Action,Drama",5.6,2041
a bridge too long,2009,Documentary,9.2,10
a brilliant curling story,2022,Documentary,7.7,23
a broken sole,2006,Drama,5.5,18
a bullet through the heart,1966,"Crime,Drama,Romance",5.5,68
a burning hot summer,2011,Drama,5.0,2425
a butterfly in the night,1976,"Comedy,Drama",5.4,57
a case of murder,2004,"Action,Crime,Drama",5.4,39
a chance in the world,2017,"Biography,Drama,Family",6.5,211
a chance to die,2000,"Action,Crime,Drama",5.1,30
a chaster marriage,2016,"Comedy,Romance",5.4,1114
a chilling cosplay,2013,"Crime,Thriller",4.4,72
a chivalrous spirit,1958,Drama,6.4,18
a christmas heart,2024,Drama,1.0,5
a class to remember 4: fifteen,2000,Drama,6.7,110
a cloud in the teeth,1974,Comedy,5.7,217
a cloud so high,2022,"Horror,Thriller",4.3,33
"a comedy of horrors, volume 1",2021,"Comedy,Horror",5.7,158
a common crime,2020,"Drama,Thriller",5.9,321
a common sequence,2023,Documentary,5.9,25
a commonplace story,1976,Documentary,6.6,9
a composer's notes: philip glass and the making of an opera,1986,"Biography,Documentary,History",8.0,21
a cry in the wild,1990,"Action,Adventure,Thriller",5.8,1231
a dama de branco,1978,Drama,6.0,17
a dangerous summer,1982,"Drama,Thriller",3.5,280
a day at the beach,1984,"Comedy,Drama",6.5,81
a day for women,2016,Drama,6.1,297
a day without lies,1963,Comedy,6.0,91
a deadly legend,2020,Horror,2.6,308
a desert between us and them,2013,"Documentary,Drama",7.8,13
a detective story,2003,Animation,10.0,1
a detective story,2003,Sci-Fi,10.0,1
a different life,2016,Documentary,9.4,15
a difícil vida fácil,1972,"Crime,Drama",4.3,24
a disturbance in the force,2023,"Documentary,History",6.8,771
a dog for christmas,2015,Comedy,4.6,809
a dog's courage,2018,"Adventure,Animation,Family",6.2,293
a dogges tale,2006,Comedy,6.6,5
a double life,2023,Documentary,9.0,9
a dream in hanoi,2002,Documentary,7.0,16
a dream of body,1972,"Adult,Fantasy",7.0,8
a dry white season,1989,"Drama,Thriller",7.0,6512
a dying king: the shah of iran,2017,Documentary,7.1,94
a face full of bullets,1996,Action,6.4,17
a federal case,2008,"Action,Drama,Family",8.0,79
a film by aravind,2005,"Horror,Mystery",6.6,237
"a fine, windy day",1980,Drama,5.8,85
a footnote in ballet history?,2016,"Biography,Documentary,History",6.3,16
a fork in the road,2010,"Comedy,Crime",5.9,1307
a french honeymoon,1964,Comedy,5.7,15
a funny thing happened on the way to the forum,1966,"Comedy,Musical",6.8,10174
a game of love,1974,Adult,6.6,10
a gentle creature,2017,"Drama,Mystery",6.6,2543
a gentleman in top hat and tails,1942,"Comedy,Music,Romance",6.8,41
a gift,2016,"Comedy,Drama,Romance",7.2,774
a giraffe on the balcony,2024,"Drama,Thriller",5.3,58
a girl fit to be killed,1976,"Comedy,Crime,Mystery",6.1,145
a girl in a million,1946,Comedy,6.6,72
a girl you don't forget,1932,"Comedy,Musical,Romance",7.0,43
"a girl, a guy, a space helmet",2012,"Comedy,Fantasy,Romance",7.4,43
"a girl, a guy, and a gob",1941,"Comedy,Romance",6.5,575
a glitch in the matrix,2021,Documentary,5.2,2293
a good boy,2022,"Drama,Thriller",5.3,10
a good kill,2016,"Drama,War",6.0,300
a good person,2023,Drama,7.1,26453
a good woman is hard to find,2019,"Crime,Drama,Thriller",6.3,5813
a grain of sand,2009,Documentary,7.7,52
a grande cidade ou as aventuras e desventuras de luzia e seus 3 amigos chegados de longe,1966,"Crime,Drama",7.0,183
a guidebook to killing your ex,2016,"Comedy,Drama,Horror",4.1,246
a happy divorce,1975,Drama,5.3,91
a hard day's night,1964,"Comedy,Musical",7.5,49534
a hard day's nightmare,2011,"Comedy,Horror,Musical",7.4,32
a harp for my beloved,2008,Romance,5.3,10
a haunting at the rectory,2015,"Drama,Horror",2.9,1012
a haunting on potter street: the potter street station,2012,Documentary,5.1,205
a hero's journey: the making of percy jackson and the olympians,2024,"Documentary,Family",7.4,249
a hijacking,2012,"Drama,Thriller",7.1,17743
a hole of my own making,1955,Drama,7.4,56
a hollow tree,2023,Thriller,7.7,94
"a hoof here, a hoof there",1989,"Comedy,Drama",7.0,253
a house is not a home,2015,"Horror,Thriller",3.5,161
a jihad for love,2007,Documentary,6.4,730
a journey through fairyland,1985,"Animation,Family,Fantasy",7.0,163
a karantén zóna,2022,Mystery,6.0,238
a killer's expiry date,1998,"Action,Crime,Drama",6.3,8
a kind of sisterhood,2015,Documentary,8.7,12
a la deriva,2016,Documentary,7.8,8
a la habana me voy,1950,Musical,5.5,15
a letter to a'ma,2021,Documentary,7.7,9
a letter to three wives,1949,"Comedy,Drama,Romance",7.7,11247
a letter without words,1998,Documentary,7.7,13
a liberal passion,2013,Comedy,5.1,677
a light in the window,1942,"Horror,Thriller",6.2,64
a little fellow from gambo: the joey smallwood story,1970,Documentary,7.4,8
a little more flesh,2020,Horror,4.5,52
a little more than love,1977,"Adult,Drama",5.6,10
a little white lie,2023,Comedy,5.9,2772
a living promise,2016,Drama,5.8,126
a lonely cow weeps at dawn,2003,"Drama,Romance",5.2,842
a long story,2013,Drama,6.7,114
"a love story, lindenfeld",2014,Drama,7.6,65
a love that never dies,2018,Documentary,8.0,9
a luv tale,1999,Drama,5.9,133
a man among giants,2008,Documentary,5.2,15
a man betrayed,1941,"Comedy,Crime,Drama",5.9,660
a man called hero,1999,"Action,Adventure,Drama",5.7,2153
a man called nereus,2012,"Action,Comedy,Sci-Fi",6.9,68
a man called ove,2015,"Comedy,Drama,Romance",7.7,71703
a man called tiger,1973,"Action,Adventure,Crime",6.2,138
a man for others: the life of father roberto balducelli,2015,"Biography,Documentary,Drama",8.9,19
a man from boulevard des capucines,1987,Comedy,8.0,1
a man from boulevard des capucines,1987,Romance,8.0,1
a man from boulevard des capucines,1987,Western,8.0,1
a man from this star,1958,Drama,7.3,122
a man in the cage,1966,\N,5.9,9
a man of honor,2012,Drama,5.6,35
a man to kill,1937,Thriller,5.7,10
a man with style,2011,Drama,6.0,103
a man's flower road,1987,Drama,4.7,98
a meeting with the past,1975,"Crime,Drama,Mystery",6.6,36
a mere life,2012,Drama,7.5,14
a merry friggin' christmas,2014,Comedy,4.0,1
a miami love story,2017,"Action,Romance",6.8,29
a millionaire on the run,2012,"Comedy,Drama",5.4,157
a mission for mr. dodd,1964,Comedy,6.9,67
a monkey's tale,1999,"Adventure,Animation,Family",5.8,559
a moon for my father,2019,Documentary,6.7,40
a moreninha,1970,"Musical,Romance",5.8,156
a mother,2020,Drama,7.9,71
a mother's special love,2024,"Comedy,Drama",6.0,108
a movie of eggs,2005,"Animation,Comedy,Family",6.5,1523
a mulher sem corpo,2020,Drama,4.8,175
a mãe é que sabe,2016,"Comedy,Drama,Sci-Fi",6.9,559
a nação que não esperou por deus: the nation that didn't wait for god,2015,"Documentary,History",6.9,25
a neighborhood named 'the dream',1961,Drama,8.0,988
a new day in old sana'a,2005,"Drama,Romance",6.1,212
a new life,2023,"Drama,Romance",7.8,16
a new year's ride,2024,Comedy,8.9,354
a nice quiet life,2018,"Drama,Romance",4.6,450
a night in transylvania,1941,Comedy,7.0,37
a night like this,1932,\N,7.9,14
a night of horror,1917,"Drama,Horror",6.2,28
a nightmare on elm street 3: dream warriors,1987,"Fantasy,Horror",6.7,94839
a normal world,2020,Drama,5.4,328
a néma tüntetés,2016,History,9.0,7
a one-way trip to antibes,2011,Drama,6.1,798
a paper marriage,2018,Family,2.9,13
a part of the game,2015,Drama,8.0,8
a patriot's day,2021,Drama,5.1,65
a pebble in the pond,2022,Documentary,7.7,32
a pedra da serpente,2018,"Drama,Fantasy,Sci-Fi",5.9,50
a perfect day,2015,Comedy,10.0,1
a perfect day,2015,Drama,10.0,1
a perfect man,2013,"Drama,Romance",5.2,2231
a perfect murder,1998,"Crime,Drama,Thriller",6.6,95024
a petty bourgeois dream,2016,"Comedy,Drama,Family",2.8,785
a place for lovers,1968,"Drama,Romance",5.5,920
a place to live,2003,"Drama,War",5.0,143
a plasticine crow,1981,Animation,10.0,1
a policeman's life,1985,Comedy,7.1,237
a polish vampire in burbank,1983,"Comedy,Horror",4.8,363
a portrait of giselle,1982,Documentary,6.5,34
a prayer for compassion,2019,Documentary,6.9,55
a present from the past: 20 september,2016,"Adventure,Biography,Documentary",8.3,109
a prime minister's schedule,1998,Documentary,9.2,8
a proper scandal,1984,"Crime,Drama",6.6,64
a punk daydream,2019,"Documentary,Drama",7.0,52
a quiet place,2018,Drama,3.0,4
a quiet place,2018,Horror,3.0,4
a quiet place,2018,Thriller,3.0,4
a rainy day,2014,"Drama,Family,Mystery",4.9,22
a reckoning,2018,Western,3.6,254
a respectable life,1979,Documentary,7.7,1288
a rising fury,2022,Documentary,7.6,17
a road not taken,2010,Documentary,8.5,15
a romantic comedy featuring lara and tobi,2022,"Comedy,Romance",7.9,20
a room in town,1982,"Drama,Musical,Romance",6.7,1740
a rose in winter,2018,Drama,6.0,85
a royal affair,1949,Comedy,5.2,26
a run for the money,1972,Drama,5.5,13
a russian youth,2019,"Drama,War",6.3,828
a régi nyár,1942,"Comedy,Romance",6.5,25
a részleg,1995,Drama,7.0,178
a sealed book,2022,Action,6.2,52
a sense of loss,1972,Documentary,8.1,75
a series of thoughts,2011,Documentary,4.4,10
a serious man,2009,"Comedy,Drama",7.0,153963
a ship to india,1947,Drama,6.4,2367
a short story,2014,"Biography,Drama,Family",7.7,321
a shtetl in the caribbean,2014,Documentary,7.0,8
a sinner in mecca,2015,Documentary,4.8,366
a skeleton in the closet,2020,"Comedy,Drama",6.1,379
a song at dawn,1988,"Adventure,Drama",6.4,14
a star fell from heaven,1936,Comedy,6.7,20
a star is born,2010,"Documentary,Music",5.4,24
a stone cold christmas,2018,"Comedy,Romance",5.6,247
a story about fire,2025,Animation,7.9,7
a strange couple,1976,"Drama,Thriller",2.6,12
a stray goat,2017,"Drama,Romance",6.1,166
a summer family,2010,Drama,5.5,17
a summer in the cage,2007,Documentary,7.3,89
a summer to remember,2020,Drama,4.6,7
a summer trip,2023,Family,6.8,9
a szerelem határai,1974,Drama,4.0,10
a tale of two mozzies,2007,"Animation,Family",6.3,112
a tartótiszt,2013,Documentary,8.0,17
a teia de gelo,2012,"Horror,Mystery,Thriller",4.4,135
a tenderfoot goes west,1936,"Action,Comedy,Music",5.6,24
a terra antes do céu,2007,"Biography,Documentary",6.8,8
a thin line between love and hate,1996,"Comedy,Crime,Drama",5.6,5659
a thousand and one erotic nights part ii: the forbidden tales,1988,"Adult,Comedy,Fantasy",5.1,134
a thousand oceans,2008,Drama,6.8,173
a tiger in paradise,2023,"Biography,Documentary",6.4,268
a time for heaven,2017,"Drama,Family",6.7,291
a time to speak,2014,Documentary,1.0,13
a tiny ripple of hope,2021,Documentary,6.5,43
a ton of luck,2006,"Comedy,Drama",6.4,996
a touch of sin,2013,"Crime,Drama",7.1,13357
a treasure in the snow,2002,Documentary,8.0,10
a true story of the private ginza police,1973,Crime,6.6,74
a twist of sand,1968,Adventure,5.4,309
a veces miro mi vida,1982,Documentary,7.1,12
a vektor,2004,Comedy,7.2,110
a very good girl,2023,"Comedy,Drama,Mystery",5.7,679
a very light groom,1972,Comedy,3.2,15
a very sordid wedding,2017,Comedy,5.5,1747
a victory of a people,1974,"Documentary,History",7.8,8
a view of love,2010,"Drama,Mystery,Romance",6.2,1821
a vingança de um tropeiro,2016,Western,8.5,6
a violent life,2017,"Drama,Thriller",6.0,461
a visit from the sergeant major with unintended consequences,1999,\N,5.8,8
a viso aperto,2020,Documentary,6.1,10
a walk in the sun,1978,Drama,6.6,182
a walking tour of historic murray hill,2019,Documentary,7.4,10
a war story,2018,Drama,6.2,68
a wedding,1978,"Comedy,Drama",7.0,3874
a weekend of deceased persons,1988,"Comedy,Drama",8.6,189
a weekend with strangers,1971,Drama,5.1,19
a white dress for marialé,1972,"Horror,Mystery,Thriller",5.7,810
a whore's life part 1: the dollhouse,2001,Adult,8.4,9
a wicked woman,1934,"Drama,Romance",6.6,232
a wild stream,2018,Documentary,6.6,81
a winter in paris,2006,"Crime,Thriller",5.7,218
a woman from the street,1939,Drama,7.0,14
a woman's decision,1975,Drama,6.9,245
a woman's life,2016,Drama,6.4,1358
a world of worlds,2020,"Action,Adventure,Fantasy",3.0,248
a year full of drama,2019,Documentary,7.7,224
a year in transition,2018,Documentary,8.2,9
"a-team, the",2010,Action,6.0,17
"a-team, the",2010,Comedy,6.0,17
"a-team, the",2010,Thriller,6.0,17
a.p. giannini - bank to the future,2024,Documentary,7.4,10
a.p.e.x.,1994,"Action,Sci-Fi",4.4,1239
a1,1999,"Drama,Fantasy,Mystery",6.9,17
aa neram alppa dooram,1985,"Action,Mystery,Thriller",6.5,26
aabhaasam,2018,Comedy,5.5,503
aadi viradham,1991,\N,5.0,8
aadmi,1968,"Drama,Romance",6.9,239
aadu - oru bheegara jeevi aanu 2,2017,Comedy,7.1,2423
aag ka darya,1966,\N,7.4,6
aaj ka samson,1991,"Action,Romance",2.8,22
aakashee pullover,2018,Drama,5.7,10
aalkkoottathil thaniye,1984,"Drama,Romance",7.3,159
aaltra,2004,"Comedy,Drama",6.9,2998
aam injij romeo,2023,"Action,Drama",8.8,10
aame evaru,1966,Mystery,8.0,23
aan milo sajna,1970,"Drama,Musical,Romance",6.4,275
aanandha kummi,1983,Drama,3.8,7
aapli manse,1979,Drama,7.5,9
aarambham,2024,Thriller,6.7,478
aarani mantalu,1980,"Action,Crime,Drama",4.9,23
aarti,1962,"Family,Musical,Romance",7.1,91
aaru sundarimaarude katha,2013,Drama,4.3,34
aashik aawara,1993,Drama,4.8,399
aavartan,2021,Musical,7.3,7
aay adam ha,2016,Documentary,6.8,32
aaye hum barati barat leke,2022,"Drama,Romance",8.7,84
aayiram pookkal malarattum,1986,Family,3.5,6
aazam,2023,"Crime,Drama,Mystery",6.1,800
abacaxi azul,1944,"Comedy,Musical",6.3,9
abandoned,1955,Drama,6.9,278
abandoned,2022,"Drama,Horror,Mystery",3.8,4116
abar,1977,"Action,Drama,Sci-Fi",4.3,562
abbar kanchanjangha,2022,Drama,6.3,90
abbot hai teng of shaolin,1985,"Action,Documentary,Sport",6.9,113
abbot's approach,2000,"Crime,Drama,Horror",6.3,16
abbronzatissimi,1991,Comedy,4.5,530
abdel et la comtesse,2018,Comedy,4.9,147
abdulla from minye 2,1990,Drama,6.1,151
